,ID,segment_id,pois_type,type_ID,dir,dist_along_segment,ID.1,demand_0,tc_0,demand_1,tc_1,projected_points
178,178,27.0,ra,111.0,0,51994.4553,178,590.9305579200001,2960.0,0.0,0.0,POINT (601147.6167923071 360875.8479976578)
179,179,27.0,ra,110.0,1,52217.786,179,0.0,0.0,953.5314085,3377.0,POINT (601133.0416753588 361098.69918433606)
180,180,27.0,ra,113.0,2,80453.836,180,842.3976687199998,2960.0,67.40368064100011,3377.0,POINT (606179.3838319452 385000.05733237456)
181,181,27.0,od,40.0,2,82449.7993,181,59.080513680000095,2960.0,835.7389016339998,3367.0,POINT (606798.5153924268 386883.54408641264)
182,182,27.0,ra,115.0,0,99290.1863,182,496.9598203700001,2951.0,0.0,0.0,POINT (608357.2770084516 402221.48874017654)
183,183,27.0,ra,116.0,2,107271.2695,183,235.52176523199984,2951.0,728.0546120120001,3367.0,POINT (609535.8360612235 408498.2279365577)
184,184,27.0,link,15.0,2,128894.5131,184,638.1019186360002,2951.0,0.0,3367.0,POINT (609820.2056908829 427385.10476366186)
185,185,28.0,link,11.0,2,0.0,185,0.0,0.0,0.0,0.0,POINT (557911.3214 346371.5999)
186,186,28.0,ra,93.0,0,3445.5591,186,0.0,0.0,0.0,0.0,POINT (559582.6667501996 343373.0937976136)
187,187,28.0,ra,95.0,0,21968.3457,187,0.0,0.0,0.0,0.0,POINT (569014.8819130135 328351.0565052191)
188,188,28.0,ra,96.0,1,22264.1164,188,0.0,0.0,0.0,0.0,POINT (569216.845194543 328135.06342390226)
189,189,28.0,od,41.0,2,27864.0093,189,0.0,0.0,0.0,0.0,POINT (571227.3151997547 322985.5055007852)
190,190,28.0,link,,2,40879.2797,190,0.0,0.0,0.0,0.0,POINT (576836.4224 312753.2016)
191,191,29.0,link,,2,0.0,191,0.0,0.0,0.0,0.0,POINT (569518.508 503390.0006)
192,192,29.0,od,43.0,2,0.0,192,0.0,0.0,0.0,0.0,POINT (569518.508 503390.0006)
193,193,29.0,link,13.0,2,9651.7629,193,0.0,0.0,0.0,0.0,POINT (578678.9354599817 503817.4636893902)
194,194,30.0,link,12.0,2,0.0,194,0.0,0.0,0.0,0.0,POINT (573191.6347 478224.432)
195,195,30.0,ra,101.0,0,1882.305,195,0.0,0.0,0.0,0.0,POINT (573003.0934855662 480087.011955877)
196,196,30.0,ra,102.0,1,15325.3757,196,0.0,0.0,0.0,0.0,POINT (576633.4205734581 492807.1443922821)
197,197,30.0,ra,103.0,0,15632.2115,197,0.0,0.0,0.0,0.0,POINT (576735.767508697 493096.3509923998)
198,198,30.0,link,13.0,2,27311.5906,198,0.0,0.0,0.0,0.0,POINT (578678.9355 503817.4637)
199,199,31.0,link,12.0,2,0.0,199,0.0,6985.0,0.0,0.0,POINT (573191.6347 478224.432)
200,200,31.0,ra,106.0,1,10173.7794,200,0.0,0.0,0.0,0.0,POINT (583164.9105697802 479130.7603887532)
201,201,31.0,ra,105.0,0,10175.4294,201,710.7537435900002,6985.0,0.0,0.0,POINT (583166.5595585105 479130.70262919157)
202,202,31.0,ra,109.0,2,22337.1484,202,849.4960721499999,6985.0,0.0,0.0,POINT (594076.6102301403 476341.5100682081)
203,203,31.0,link,14.0,2,24222.2134,203,131.6717902500002,6985.0,0.0,0.0,POINT (595872.6536874395 476198.36550591124)
204,204,32.0,link,13.0,2,0.0,204,0.0,218.0,0.0,0.0,POINT (578678.9355 503817.4637)
