highway,name,osm_id,geometry,asfinag_position,dist_along_highway
A14,Klaus - Koblach,286679073,POINT (119612.2831480087 386121.6955669122),31,30963.89175629774
A14,Rankweil,1690318472,POINT (119626.0522937886 382536.2364559424),35,34608.15456900843
A14,Feldkirch-Nord,569936953,POINT (119509.1087586674 382206.003133124),36,34958.52337395302
A14,Feldkirch-Frastanz,2110805095,POINT (118726.7610441578 376883.3797760241),41,40622.20515609988
A14,Nenzing-Bludesch,286070864,POINT (126025.9979254183 372316.1565089975),50,49656.34715598312
A14,Bludenz-Nüziders,48947230,POINT (131443.6969715104 369234.3868318215),57,56248.41472601376
A14,Brandnertal,336445017,POINT (132163.561118264 368438.614613688),58,57329.30241552528
A14,Bludenz-Bürs,49812691,POINT (133255.476900798 367432.311377264),59,58837.42407188279
A14,Bludenz-Montafon,580526,POINT (134140.2818746191 366062.0266639655),61,60468.56071893863
A14,Lauterach-Wolfurt,298621496,POINT (129480.7872739324 404179.7341159963),10,71083.17086402408
A14,Götzis,18158351,POINT (120147.3399103054 387548.1002176735),29,91016.55440525607
A2,Mödling,1096028579,POINT (622599.5053073256 473118.4206917112),7,4508.218089914616
A2,Wiener Neudorf,381650,POINT (623439.4217068686 469185.1370050182),9,8714.450095827964
A2,IZ NÖ-Süd,331508391,POINT (624038.5298788655 466724.0569275327),11,11261.845184942433
A2,Knoten Guntramsdorf,2085870399,POINT (624191.1306100644 464204.467589382),15,13798.688619191267
A2,Traiskirchen,401479,POINT (621851.2791133489 460469.2184572493),19,18299.883396577665
A2,Baden,92978533,POINT (619917.145100577 458467.9064554274),21,21083.121744204844
A2,Bad Vöslau,702534156,POINT (617381.3044695881 456810.1459566939),24,24123.381642857436
A2,Kottingbrunn,1126595038,POINT (615543.9101025367 454521.5778171062),27,27096.842951384144
